"","KO","logFC","AveExpr","t","P.Value","FDR","B","regulated","gene","description","label"
"1","K00001",3.41808918204155,-0.448651040161661,2.88707029275713,0.00415183612928583,0.0241540400430136,-2.10776187139909,"up","E1.1.1.1, adh"," alcohol dehydrogenase [EC:1.1.1.1]",NA
"2","K00003",0.40976972656338,4.22623982551738,0.561595015622748,0.574783278282026,0.717599463019298,-5.81765325370705,"normal","hom"," homoserine dehydrogenase [EC:1.1.1.3]",NA
"3","K00004",0.419911152917726,2.76044658253656,0.439733397183146,0.66042568330244,0.78507163311686,-5.87485824700866,"normal","BDH, butB"," (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",NA
"4","K00005",0.457897564237522,3.38171141792735,0.537339400536073,0.591404933746081,0.729920614962503,-5.83014738310998,"normal","gldA"," glycerol dehydrogenase [EC:1.1.1.6]",NA
"5","K00008",-1.94857177489359,-5.30495704130597,-2.43940277131455,0.0152519361877713,0.060701788157549,-3.20067880263631,"down","SORD, gutB"," L-iditol 2-dehydrogenase [EC:1.1.1.14]",NA
"6","K00009",-1.90312421932859,-3.17083594241106,-1.76928440267175,0.0777944928662054,0.186406127834,-4.50435714440262,"normal","mtlD"," mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]",NA
"7","K00010",-0.221765757349355,-1.6808208493226,-0.188003450245613,0.850992562626439,0.914361897780046,-5.94897292537906,"normal","iolG"," myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]",NA
"8","K00012",0.574918334672673,3.5825865811076,0.675175593472512,0.500049543705936,0.65362038406019,-5.75182760997956,"normal","UGDH, ugd"," UDPglucose 6-dehydrogenase [EC:1.1.1.22]",NA
"9","K00013",0.30352606142629,4.04747025640932,0.413615148239172,0.679431768288405,0.797392859085593,-5.8853094110576,"normal","hisD"," histidinol dehydrogenase [EC:1.1.1.23]",NA
"10","K00014",0.6373880129489,5.1057574919873,1.04463607086604,0.296976081721095,0.463747763945345,-5.45445980408518,"normal","aroE"," shikimate dehydrogenase [EC:1.1.1.25]",NA
"11","K00016",1.73399780015616,3.73494657395389,2.18914667781385,0.0293049574925184,0.0951571778480467,-3.73465447966642,"up","LDH, ldh"," L-lactate dehydrogenase [EC:1.1.1.27]",NA
"12","K00018",-0.106147641123918,3.08140474068837,-0.116471312808476,0.907351747394808,0.944235964768581,-5.9591911037034,"normal","hprA"," glycerate dehydrogenase [EC:1.1.1.29]",NA
"13","K00019",-2.93345313510076,-4.5021811349199,-3.22648124231592,0.00138227394211189,0.0121615587634146,-1.16352743712329,"down","BDH1, bdhA"," 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",NA
"14","K00020",1.01807839187564,-0.873914427265324,0.856361656437083,0.392435647819038,0.556336066647353,-5.62188423394688,"normal","HIBADH, mmsB"," 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]",NA
"15","K00023",-1.39091490889042,-5.49505054389662,-1.78320455627895,0.075496418855337,0.182602860938032,-4.48139479339897,"normal","phbB"," acetoacetyl-CoA reductase [EC:1.1.1.36]",NA
"16","K00024",-0.524370754031957,4.70992685134806,-0.771351604112502,0.441065150237458,0.601424919636506,-5.6866656003923,"normal","mdh"," malate dehydrogenase [EC:1.1.1.37]",NA
"17","K00027",-0.120361953310638,3.93746955832653,-0.152821505992067,0.878634913313818,0.928722252538421,-5.95459847758654,"normal","ME2, sfcA, maeA"," malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",NA
"18","K00029",-1.17674986494034,3.32361953872344,-1.32754927520448,0.185269005712573,0.334860999113719,-5.14105151965079,"normal","maeB"," malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",NA
"19","K00030",0.309247660758457,-4.13100006764354,0.324094492430905,0.74607726112046,0.848630544343193,-5.91628120452596,"normal","IDH3"," isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]",NA
"20","K00031",-0.932644132490834,2.09633343550797,-0.898898743993325,0.369379393635857,0.536884295735608,-5.58694138135905,"normal","IDH1, IDH2, icd"," isocitrate dehydrogenase [EC:1.1.1.42]",NA
"21","K00033",0.710555763103202,3.87230887804111,0.919485147343769,0.358531290194708,0.527070236622348,-5.56942539152278,"normal","PGD, gnd, gntZ"," 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",NA
"22","K00036",1.46007812250369,4.52076123994096,2.25575160168275,0.0247580845944027,0.0850563460351428,-3.59798535620761,"up","G6PD, zwf"," glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",NA
"23","K00040",-1.47359528836829,-5.31513868067214,-1.85560341616401,0.0644252163508097,0.16387131953847,-4.35912826057695,"normal","uxuB"," fructuronate reductase [EC:1.1.1.57]",NA
"24","K00041",-2.92977128363992,-5.11903942019012,-3.52469851570277,0.00048549559748769,0.00666852048662308,-0.253362993454436,"down","uxaB"," tagaturonate reductase [EC:1.1.1.58]",NA
"25","K00042",-4.38459195958405,-4.59754381158105,-4.91483294755594,1.41873182318938e-06,0.000804218267773636,4.93649066246309,"down","garR, glxR"," 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]",NA
"26","K00046",-3.46603847986672,-3.22226335430935,-3.29733634629386,0.00108532185587414,0.0104845892739749,-0.954039306048986,"down","idnO"," gluconate 5-dehydrogenase [EC:1.1.1.69]",NA
"27","K00048",0.429703781939032,2.44200829446895,0.431725269094625,0.666230503381786,0.788664271306363,-5.87813060611586,"normal","fucO"," lactaldehyde reductase [EC:1.1.1.77]",NA
"28","K00050",-1.83014175711464,-5.82393745773527,-2.52400702588677,0.0120838730033113,0.0518926494341332,-3.00759411955539,"down",NA,NA,NA
"29","K00052",1.1366667930911,5.28216195822954,2.03490763129507,0.0426803252653405,0.122278361482217,-4.03588452400317,"normal","leuB, IMDH"," 3-isopropylmalate dehydrogenase [EC:1.1.1.85]",NA
"30","K00053",1.35691864431554,5.44324764765749,2.50852116378397,0.0126157402131327,0.0533680780018234,-3.04340834280382,"up","ilvC"," ketol-acid reductoisomerase [EC:1.1.1.86]",NA
"31","K00054",2.43358139085927,2.25150195052633,2.44609036451177,0.0149771207606751,0.0600295102811706,-3.18564643893896,"up","mvaA"," hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]",NA
"32","K00057",1.06544571195696,4.84737263428303,1.59484096675084,0.111730432413703,0.240949106422593,-4.77714188481444,"normal","gpsA"," glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]",NA
"33","K00058",-0.283541213838633,4.1962034943592,-0.379021845337088,0.704921858764525,0.819311639009267,-5.89816808689146,"normal","serA, PHGDH"," D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",NA
"34","K00059",0.317979203229203,5.95179640205735,0.605015858259407,0.545595290402029,0.693605240895975,-5.79391270994345,"normal","fabG, OAR1"," 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",NA
"35","K00060",-2.56345354492807,-4.40779031268265,-2.7393317282599,0.00649998069940429,0.0329098239629176,-2.48779539311471,"down","tdh"," threonine 3-dehydrogenase [EC:1.1.1.103]",NA
"36","K00065",-1.59789659753544,-4.38131894513828,-1.70426944487087,0.0892970140241722,0.207332095756533,-4.60926864440991,"normal","kduD"," 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]",NA
"37","K00067",1.288994275994,3.80327791156918,1.60934512485233,0.1085224285362,0.236670109321722,-4.75552023110272,"normal","rfbD, rmlD"," dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",NA
